204633, 232, 4136, -877, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204670, 294, 4059, -838, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204707, 291, 4304, -859, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204744, 416, 4467, -642, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204781, 581, 4566, -438, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204818, 962, 4431, -520, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204855, 962, 5634, -512, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204892, 732, 6332, -458, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204930, 515, 4569, 724, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
204974, 388, 5237, 1342, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205018, 147, 3572, 1756, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205062, -482, 1739, 1981, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205107, -818, 909, 2010, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205151, -1047, 564, 1935, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205195, -1176, 394, 1653, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205240, -1181, 245, 1228, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205284, -787, 651, 599, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205328, 244, 1255, 555, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205373, 900, 735, 732, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205408, 2010, 1487, 320, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205443, 3695, 1674, 947, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205478, 5794, -916, 861, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205514, 9034, -1202, 663, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205549, 11018, 578, 248, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205584, 9405, 2578, -670, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205620, 5382, 4253, -2226, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205655, 5253, 1985, -1124, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205690, 4402, 2207, -1660, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205726, 4116, 1896, -667, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205761, 4342, 1402, -38, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205797, 3934, 1523, 293, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205833, 4229, 1599, 322, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205868, 4223, 1613, -613, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205904, 4021, 888, -618, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205940, 4054, 114, 113, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
205976, 5036, 1409, 1745, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206011, 4482, -2574, 1451, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206047, 4159, 544, -828, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206083, 3762, 218, -1186, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206119, 2793, -250, -686, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206164, 3658, 825, -863, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206209, 3656, -761, -721, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206254, 3665, -995, -589, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206299, 3154, -442, -1261, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206344, 2837, -429, -1621, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206389, 2425, -853, -1998, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206434, 3249, -2002, -741, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206479, 3126, 801, -935, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206524, 3825, -725, -2038, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206570, 4006, -931, -1166, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206600, 4050, -2046, -677, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206631, 4796, -1814, -667, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206662, 4191, -1292, -1762, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206692, 4551, -1901, -1465, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206723, 4588, -1404, -903, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206754, 3920, -1379, -1271, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206785, 3700, -268, -1635, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206815, 3793, -1381, -964, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206846, 4042, -2038, -1813, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206877, 4136, -1797, -1936, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206908, 4194, -773, -1519, 78, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206952, 3769, -1098, -1372, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
206996, 3923, -892, -1839, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
207041, 3907, -964, -1767, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
207085, 3778, -1144, -1821, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
207130, 3720, -851, -1906, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
207174, 3625, -1241, -1935, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
207218, 3807, -861, -1520, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
207263, 3709, -903, -1759, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
207307, 3539, -685, -1889, 79, b5419769-5e41-497a-8198-3b3edb8098ac, , transisi, transisi_bersedekap_ke_ruku, , 
